ACTS,Cases_count,Case_Category,State,ShortExplanationOfAct,ShortExplanationOfCase
"Banking Regulation Act, 1949",344,Business Law,West Bengal,Governs banking policies and financial transactions.,Concerns legal regulations for business operations.
"Juvenile Justice Act, 2015",277,Family Law,Odisha,Defines legal provisions for minors involved in crimes.,"Handles disputes related to marriage, divorce, and custody."
"National Green Tribunal Act, 2010",96,RTI Cases,Haryana,Establishes special courts for environmental disputes.,Involves cases where public authorities deny access to information.
"National Green Tribunal Act, 2010",406,Environmental,Karnataka,Establishes special courts for environmental disputes.,Deals with violations of environmental laws and pollution control.
"Banking Regulation Act, 1949",333,Contractual,Madhya Pradesh,Governs banking policies and financial transactions.,Addresses breach of contract and non-performance issues.
"Companies Act, 2013",139,Civil,Jharkhand,Regulates corporate governance and business operations in India.,"Deals with disputes related to property, contracts, and defamation."
"Muslim Personal Law (Shariat) Application Act, 1937",288,Arbitration,Haryana,Applies Islamic laws to Muslim personal matters.,Settles disputes outside courts through mutual agreement.
"Banking Regulation Act, 1949",37,Environmental Violation,Haryana,Governs banking policies and financial transactions.,"Involves pollution, illegal deforestation, and climate-related cases."
"Factories Act, 1948",35,Contractual,Uttar Pradesh,Ensures worker safety and regulates factory labor laws.,Addresses breach of contract and non-performance issues.
"Income Tax Act, 1961",447,RTI Cases,Punjab,Regulates taxation on income earned in India.,Involves cases where public authorities deny access to information.
"Contract Act, 1872",127,Contractual,West Bengal,Governs contractual agreements and breach of contract cases.,Addresses breach of contract and non-performance issues.
"Contract Act, 1872",146,RTI Cases,West Bengal,Governs contractual agreements and breach of contract cases.,Involves cases where public authorities deny access to information.
"Consumer Protection Act, 2019",345,Consumer Dispute,Haryana,Protects consumer rights and addresses unfair trade practices.,Concerns cases of defective products and unfair trade practices.
"Arbitration and Conciliation Act, 1996",87,Contractual,Kerala,Regulates arbitration for dispute resolution outside courts.,Addresses breach of contract and non-performance issues.
"Motor Vehicles Act, 1988",83,Taxation,Bihar,"Regulates motor vehicle laws, accidents, and compensation.","Covers disputes regarding income tax, GST, and corporate taxation."
"Contract Act, 1872",190,Family Law,Odisha,Governs contractual agreements and breach of contract cases.,"Handles disputes related to marriage, divorce, and custody."
"Contract Act, 1872",259,Labor Dispute,Delhi,Governs contractual agreements and breach of contract cases.,Concerns workplace disputes between employees and employers.
"Juvenile Justice Act, 2015",35,Family Law,Punjab,Defines legal provisions for minors involved in crimes.,"Handles disputes related to marriage, divorce, and custody."
"National Green Tribunal Act, 2010",283,Corporate,Haryana,Establishes special courts for environmental disputes.,Involves legal matters related to businesses and trade practices.
"Prevention of Corruption Act, 1988",320,Family Law,Chhattisgarh,Deals with bribery and corruption among public officials.,"Handles disputes related to marriage, divorce, and custody."
"Juvenile Justice Act, 2015",112,Religious Law,Jharkhand,Defines legal provisions for minors involved in crimes.,Concerns legal matters governed by personal laws of different religions.
"Criminal Procedure Code, 1973",111,Environmental Violation,Delhi,Lays down the procedure for criminal trials and investigations.,"Involves pollution, illegal deforestation, and climate-related cases."
"Companies Act, 2013",87,Cybercrime,Uttar Pradesh,Regulates corporate governance and business operations in India.,"Covers hacking, identity theft, and online fraud cases."
"Criminal Procedure Code, 1973",24,Environmental,Punjab,Lays down the procedure for criminal trials and investigations.,Deals with violations of environmental laws and pollution control.
"Protection of Women from Domestic Violence Act, 2005",336,Juvenile Crime,Chhattisgarh,Provides protection and legal recourse for domestic abuse victims.,Covers criminal offenses committed by minors.
"Factories Act, 1948",86,Contractual,Kerala,Ensures worker safety and regulates factory labor laws.,Addresses breach of contract and non-performance issues.
"Motor Vehicles Act, 1988",279,Anti-Corruption,Gujarat,"Regulates motor vehicle laws, accidents, and compensation.",Involves bribery and misuse of power in government offices.
"Indian Penal Code, 1860",128,Labor Dispute,Chhattisgarh,Defines criminal offenses and penalties in India.,Concerns workplace disputes between employees and employers.
"National Green Tribunal Act, 2010",345,Banking Fraud,Tamil Nadu,Establishes special courts for environmental disputes.,Covers cases of loan defaults and financial misrepresentation.
"Hindu Marriage Act, 1955",366,Arbitration,Andhra Pradesh,"Regulates marriage, divorce, and inheritance in Hindu families.",Settles disputes outside courts through mutual agreement.
"Income Tax Act, 1961",473,Anti-Corruption,Uttar Pradesh,Regulates taxation on income earned in India.,Involves bribery and misuse of power in government offices.
"Factories Act, 1948",83,Juvenile Crime,Assam,Ensures worker safety and regulates factory labor laws.,Covers criminal offenses committed by minors.
"Information Technology Act, 2000",93,Criminal,Rajasthan,Addresses cybercrimes and electronic transactions.,"Involves crimes such as theft, assault, and fraud."
"Arbitration and Conciliation Act, 1996",480,Taxation,West Bengal,Regulates arbitration for dispute resolution outside courts.,"Covers disputes regarding income tax, GST, and corporate taxation."
"Motor Vehicles Act, 1988",333,Civil,Chhattisgarh,"Regulates motor vehicle laws, accidents, and compensation.","Deals with disputes related to property, contracts, and defamation."
"Prevention of Corruption Act, 1988",17,Anti-Corruption,Andhra Pradesh,Deals with bribery and corruption among public officials.,Involves bribery and misuse of power in government offices.
"Banking Regulation Act, 1949",178,Anti-Corruption,Bihar,Governs banking policies and financial transactions.,Involves bribery and misuse of power in government offices.
"Prevention of Corruption Act, 1988",465,Family Law,Delhi,Deals with bribery and corruption among public officials.,"Handles disputes related to marriage, divorce, and custody."
"National Green Tribunal Act, 2010",28,Environmental,Kerala,Establishes special courts for environmental disputes.,Deals with violations of environmental laws and pollution control.
"Protection of Women from Domestic Violence Act, 2005",453,Anti-Corruption,Jharkhand,Provides protection and legal recourse for domestic abuse victims.,Involves bribery and misuse of power in government offices.
"Income Tax Act, 1961",232,Business Law,Uttar Pradesh,Regulates taxation on income earned in India.,Concerns legal regulations for business operations.
"Arbitration and Conciliation Act, 1996",155,RTI Cases,Uttar Pradesh,Regulates arbitration for dispute resolution outside courts.,Involves cases where public authorities deny access to information.
"Contract Act, 1872",50,Taxation,Madhya Pradesh,Governs contractual agreements and breach of contract cases.,"Covers disputes regarding income tax, GST, and corporate taxation."
"Banking Regulation Act, 1949",496,Domestic Violence,Odisha,Governs banking policies and financial transactions.,"Deals with physical, emotional, and financial abuse in families."
"Prevention of Corruption Act, 1988",302,Environmental,Uttarakhand,Deals with bribery and corruption among public officials.,Deals with violations of environmental laws and pollution control.
"Prevention of Corruption Act, 1988",387,Contractual,Punjab,Deals with bribery and corruption among public officials.,Addresses breach of contract and non-performance issues.
"Protection of Women from Domestic Violence Act, 2005",258,Contractual,Karnataka,Provides protection and legal recourse for domestic abuse victims.,Addresses breach of contract and non-performance issues.
"National Green Tribunal Act, 2010",60,Cybercrime,Assam,Establishes special courts for environmental disputes.,"Covers hacking, identity theft, and online fraud cases."
"Muslim Personal Law (Shariat) Application Act, 1937",330,Motor Accident,Uttar Pradesh,Applies Islamic laws to Muslim personal matters.,Involves compensation claims for road accident victims.
"Banking Regulation Act, 1949",94,Civil,Telangana,Governs banking policies and financial transactions.,"Deals with disputes related to property, contracts, and defamation."
"Juvenile Justice Act, 2015",331,Taxation,Rajasthan,Defines legal provisions for minors involved in crimes.,"Covers disputes regarding income tax, GST, and corporate taxation."
"Civil Procedure Code, 1908",472,Labor Dispute,Odisha,Governs civil litigation and procedures in Indian courts.,Concerns workplace disputes between employees and employers.
"Income Tax Act, 1961",441,Business Law,Bihar,Regulates taxation on income earned in India.,Concerns legal regulations for business operations.
"Information Technology Act, 2000",425,Environmental,Telangana,Addresses cybercrimes and electronic transactions.,Deals with violations of environmental laws and pollution control.
"Protection of Women from Domestic Violence Act, 2005",481,Environmental Violation,Punjab,Provides protection and legal recourse for domestic abuse victims.,"Involves pollution, illegal deforestation, and climate-related cases."
"Protection of Women from Domestic Violence Act, 2005",442,Arbitration,Punjab,Provides protection and legal recourse for domestic abuse victims.,Settles disputes outside courts through mutual agreement.
"Income Tax Act, 1961",489,Corporate,Tamil Nadu,Regulates taxation on income earned in India.,Involves legal matters related to businesses and trade practices.
"Indian Penal Code, 1860",110,RTI Cases,Punjab,Defines criminal offenses and penalties in India.,Involves cases where public authorities deny access to information.
"Protection of Women from Domestic Violence Act, 2005",440,Religious Law,Delhi,Provides protection and legal recourse for domestic abuse victims.,Concerns legal matters governed by personal laws of different religions.
"Prevention of Corruption Act, 1988",177,Religious Law,Uttar Pradesh,Deals with bribery and corruption among public officials.,Concerns legal matters governed by personal laws of different religions.
"Contract Act, 1872",352,Juvenile Crime,Assam,Governs contractual agreements and breach of contract cases.,Covers criminal offenses committed by minors.
"Prevention of Corruption Act, 1988",436,Criminal,Maharashtra,Deals with bribery and corruption among public officials.,"Involves crimes such as theft, assault, and fraud."
"Criminal Procedure Code, 1973",53,Juvenile Crime,Rajasthan,Lays down the procedure for criminal trials and investigations.,Covers criminal offenses committed by minors.
"Juvenile Justice Act, 2015",334,Arbitration,Madhya Pradesh,Defines legal provisions for minors involved in crimes.,Settles disputes outside courts through mutual agreement.
"Information Technology Act, 2000",367,Arbitration,Punjab,Addresses cybercrimes and electronic transactions.,Settles disputes outside courts through mutual agreement.
"Civil Procedure Code, 1908",96,Corporate,Haryana,Governs civil litigation and procedures in Indian courts.,Involves legal matters related to businesses and trade practices.
"Environment Protection Act, 1986",449,Civil,Telangana,Lays down guidelines for environmental protection and pollution control.,"Deals with disputes related to property, contracts, and defamation."
"Companies Act, 2013",329,Corporate,Uttar Pradesh,Regulates corporate governance and business operations in India.,Involves legal matters related to businesses and trade practices.
"Indian Penal Code, 1860",405,Environmental Violation,Delhi,Defines criminal offenses and penalties in India.,"Involves pollution, illegal deforestation, and climate-related cases."
"Civil Procedure Code, 1908",13,Contractual,Jharkhand,Governs civil litigation and procedures in Indian courts.,Addresses breach of contract and non-performance issues.
"Motor Vehicles Act, 1988",480,Labor Dispute,Assam,"Regulates motor vehicle laws, accidents, and compensation.",Concerns workplace disputes between employees and employers.
"Contract Act, 1872",249,Taxation,Rajasthan,Governs contractual agreements and breach of contract cases.,"Covers disputes regarding income tax, GST, and corporate taxation."
"Consumer Protection Act, 2019",84,Motor Accident,Gujarat,Protects consumer rights and addresses unfair trade practices.,Involves compensation claims for road accident victims.
"Muslim Personal Law (Shariat) Application Act, 1937",310,Environmental Violation,Andhra Pradesh,Applies Islamic laws to Muslim personal matters.,"Involves pollution, illegal deforestation, and climate-related cases."
"Consumer Protection Act, 2019",337,Environmental,Punjab,Protects consumer rights and addresses unfair trade practices.,Deals with violations of environmental laws and pollution control.
"Banking Regulation Act, 1949",121,Anti-Corruption,Chhattisgarh,Governs banking policies and financial transactions.,Involves bribery and misuse of power in government offices.
"National Green Tribunal Act, 2010",376,Civil,Haryana,Establishes special courts for environmental disputes.,"Deals with disputes related to property, contracts, and defamation."
"Information Technology Act, 2000",52,Family Law,Bihar,Addresses cybercrimes and electronic transactions.,"Handles disputes related to marriage, divorce, and custody."
"Arbitration and Conciliation Act, 1996",391,RTI Cases,Rajasthan,Regulates arbitration for dispute resolution outside courts.,Involves cases where public authorities deny access to information.
"Environment Protection Act, 1986",8,Banking Fraud,Odisha,Lays down guidelines for environmental protection and pollution control.,Covers cases of loan defaults and financial misrepresentation.
"Protection of Women from Domestic Violence Act, 2005",157,Religious Law,Madhya Pradesh,Provides protection and legal recourse for domestic abuse victims.,Concerns legal matters governed by personal laws of different religions.
"Banking Regulation Act, 1949",51,Religious Law,Assam,Governs banking policies and financial transactions.,Concerns legal matters governed by personal laws of different religions.
"Muslim Personal Law (Shariat) Application Act, 1937",255,Corporate,Telangana,Applies Islamic laws to Muslim personal matters.,Involves legal matters related to businesses and trade practices.
"Motor Vehicles Act, 1988",43,Cybercrime,Assam,"Regulates motor vehicle laws, accidents, and compensation.","Covers hacking, identity theft, and online fraud cases."
"Juvenile Justice Act, 2015",448,Environmental Violation,Chhattisgarh,Defines legal provisions for minors involved in crimes.,"Involves pollution, illegal deforestation, and climate-related cases."
"Juvenile Justice Act, 2015",162,Cybercrime,Uttar Pradesh,Defines legal provisions for minors involved in crimes.,"Covers hacking, identity theft, and online fraud cases."
"Civil Procedure Code, 1908",13,Consumer Dispute,Karnataka,Governs civil litigation and procedures in Indian courts.,Concerns cases of defective products and unfair trade practices.
"Factories Act, 1948",21,Environmental Violation,Assam,Ensures worker safety and regulates factory labor laws.,"Involves pollution, illegal deforestation, and climate-related cases."
"Companies Act, 2013",81,Environmental,West Bengal,Regulates corporate governance and business operations in India.,Deals with violations of environmental laws and pollution control.
"Motor Vehicles Act, 1988",500,Banking Fraud,Uttarakhand,"Regulates motor vehicle laws, accidents, and compensation.",Covers cases of loan defaults and financial misrepresentation.
"Banking Regulation Act, 1949",422,Contractual,Tamil Nadu,Governs banking policies and financial transactions.,Addresses breach of contract and non-performance issues.
"Companies Act, 2013",386,Environmental,Madhya Pradesh,Regulates corporate governance and business operations in India.,Deals with violations of environmental laws and pollution control.
"Prevention of Corruption Act, 1988",112,Contractual,Madhya Pradesh,Deals with bribery and corruption among public officials.,Addresses breach of contract and non-performance issues.
"Prevention of Corruption Act, 1988",106,Religious Law,Tamil Nadu,Deals with bribery and corruption among public officials.,Concerns legal matters governed by personal laws of different religions.
"Muslim Personal Law (Shariat) Application Act, 1937",124,Taxation,Jharkhand,Applies Islamic laws to Muslim personal matters.,"Covers disputes regarding income tax, GST, and corporate taxation."
"Contract Act, 1872",445,Business Law,Jharkhand,Governs contractual agreements and breach of contract cases.,Concerns legal regulations for business operations.
"Prevention of Corruption Act, 1988",64,Labor Dispute,Andhra Pradesh,Deals with bribery and corruption among public officials.,Concerns workplace disputes between employees and employers.
"Prevention of Corruption Act, 1988",331,Family Law,Odisha,Deals with bribery and corruption among public officials.,"Handles disputes related to marriage, divorce, and custody."
"Criminal Procedure Code, 1973",5,Criminal,Andhra Pradesh,Lays down the procedure for criminal trials and investigations.,"Involves crimes such as theft, assault, and fraud."
"Hindu Marriage Act, 1955",114,Anti-Corruption,Madhya Pradesh,"Regulates marriage, divorce, and inheritance in Hindu families.",Involves bribery and misuse of power in government offices.
"Criminal Procedure Code, 1973",238,Cybercrime,Kerala,Lays down the procedure for criminal trials and investigations.,"Covers hacking, identity theft, and online fraud cases."
"Information Technology Act, 2000",162,Banking Fraud,Bihar,Addresses cybercrimes and electronic transactions.,Covers cases of loan defaults and financial misrepresentation.
"Factories Act, 1948",258,Environmental Violation,Chhattisgarh,Ensures worker safety and regulates factory labor laws.,"Involves pollution, illegal deforestation, and climate-related cases."
