ID,Advocate Name,Location,Experience (Years),Specialization,Notable Cases Handled,Fee (INR)
2907,Adv. Yogesh Pillai,Chennai,8,Immigration Law,Data Breach,39985
2908,Adv. Ashwin Sharma,Jodhpur,20,Insurance Law,Bank Frauds,10979
2909,Adv. Neha Gupta,Hyderabad,16,Criminal Law,Foreign Trade Disputes,11967
2910,Adv. Tarun Dixit,Noida,15,Consumer Protection Law,Workplace Harassment,32318
2911,Adv. Manish Verma,Solapur,8,Family Law,RTI Cases,43546
2912,Adv. Mohit Kulkarni,Gorakhpur,13,Employment & Labor Law,Corporate Frauds,47764
2913,Adv. Aarav Deshmukh,Varanasi,12,Adoption & Surrogacy Law,Drug Trafficking,6670
2914,Adv. Manish Khandelwal,Nagpur,16,Adoption & Surrogacy Law,Trademark Infringement,5975
2915,Adv. Aarav Malik,Chennai,20,Land & Property Law,Patent Infringements,13013
2916,Adv. Yogesh Saxena,Surat,16,Election Law,Workplace Harassment,28706
2917,Adv. Rohan Chopra,Gorakhpur,19,Civil Rights Law,Animal Cruelty,17026
2918,Adv. Snehal Roy,Chennai,14,Civil Litigation,Drug Trafficking,23473
2919,Adv. Parth Iyer,Nashik,19,White Collar Crimes,Loan Defaults,33876
2920,Adv. Aditya Patel,Bangalore,9,Media & Entertainment Law,RTI Cases,9683
2921,Adv. Kavita Arora,Bhavnagar,15,Telecommunication Law,Passenger Rights,34561
2922,Adv. Ashwin Sen,Asansol,6,Cyber Law,Rent Disputes,17222
2923,Adv. Sunita Kulkarni,Hyderabad,7,Banking & Finance Law,Loan Defaults,21565
2924,Adv. Kiran Das,Hubli,5,Immigration Law,Fundamental Rights,24949
2925,Adv. Pooja Agrawal,Mysore,10,Taxation Law,Visa Fraud,10781
2926,Adv. Sunita Sinha,Chennai,12,Anti-Corruption Law,Domestic Violence,33499
2927,Adv. Bhavna Joshi,Ranchi,5,Intellectual Property Law,Foreign Trade Disputes,24518
2928,Adv. Tarun Iyer,Delhi,11,Juvenile Law,Tax Evasion,27480
2929,Adv. Aarav Rana,Nagpur,20,Elder Law,Wrong Diagnosis,23499
2930,Adv. Tarun Verma,Mysore,6,Railway Law,Unlawful Detention,9207
2931,Adv. Rashi Kapoor,Amritsar,14,Aviation Law,Smuggling Cases,19248
2932,Adv. Manish Dixit,Warangal,13,Sports Law,Service Disputes,11424
2933,Adv. Rashi Iyer,Solapur,20,Narcotics Law,Discrimination Cases,18919
2934,Adv. Akash Reddy,Agra,6,Military Law,Property Disputes,16254
2935,Adv. Anjali Rajput,Jaipur,8,Elder Law,Homicide,25852
2936,Adv. Raghav Chopra,Shimla,7,Elder Law,Money Laundering,24587
2937,Adv. Aarav Sinha,Bhopal,15,Cyber Law,Sexual Harassment,7947
2938,Adv. Pooja Choudhary,Nashik,18,Transportation Law,Contract Breaches,31750
2939,Adv. Swati Vyas,Gwalior,15,Consumer Protection Law,Government Scandals,43890
2940,Adv. Ritu Dixit,Delhi,6,Gender Rights Law,Fraudulent Sales,14893
2941,Adv. Deepa Kulkarni,Hubli,7,Elder Law,Court-Martial Cases,7230
2942,Adv. Sandeep Das,Gwalior,12,Employment & Labor Law,Electoral Malpractices,6183
2943,Adv. Nidhi Vyas,Gwalior,5,Military Law,Narcotics,48919
2944,Adv. Ishita Tiwari,Patna,5,Banking Fraud Law,Data Breach,35515
2945,Adv. Deepa Sinha,Allahabad,6,Narcotics Law,Voting Rights,49309
2946,Adv. Ritu Choudhary,Jodhpur,19,Cyber Crime Law,Bribery,36505
2947,Adv. Rohan Soni,Patna,17,Medical Negligence Law,Business Disputes,26044
2948,Adv. Kunal Mishra,Bangalore,14,Narcotics Law,Loan Defaults,12973
2949,Adv. Rajeev Agrawal,Solapur,11,Civil Rights Law,Business Disputes,17685
2950,Adv. Sandeep Iyer,Coimbatore,13,Juvenile Law,RTI Cases,8534
2951,Adv. Ajay Rajput,Noida,5,Charity & NGO Law,Debt Negotiations,28234
2952,Adv. Ritika Sharma,Udaipur,20,Telecommunication Law,Wrong Diagnosis,38753
2953,Adv. Ashwin Bhatia,Mysore,9,Trademark & Patent Law,Deforestation Cases,49647
2954,Adv. Snehal Mishra,Gorakhpur,7,Adoption & Surrogacy Law,PILs,34118
2955,Adv. Ramesh Sharma,Mysore,6,Insurance Law,Online Fraud,20743
2956,Adv. Priya Sharma,Chandigarh,11,Banking & Finance Law,Defective Products,44621
2957,Adv. Manish Menon,Meerut,17,Environmental Law,Service Disputes,47709
2958,Adv. Dheeraj Bhasin,Gwalior,19,Banking & Finance Law,Custody Cases,13572
2959,Adv. Manish Pandey,Varanasi,18,Immigration Law,Financial Frauds,29138
2960,Adv. Swati Malik,Noida,8,Animal Rights Law,Human Rights Violations,27734
2961,Adv. Ashwin Pandey,Shimla,5,Sports Law,Land Grabbing,45395
2962,Adv. Suraj Iyer,Nagpur,13,Transportation Law,Debt Negotiations,39197
2963,Adv. Arjun Reddy,Jaipur,15,Public Interest Law,Custody Cases,25568
2964,Adv. Swati Rana,Coimbatore,11,Juvenile Law,Unlawful Termination,45308
2965,Adv. Ishita Iyer,Mysore,11,Business Law,Trademark Infringement,46301
2966,Adv. Tanvi Pillai,Gwalior,12,Business Law,Film Contracts,5214
2967,Adv. Nitin Reddy,Asansol,17,Trademark & Patent Law,Child Crime Cases,47622
2968,Adv. Ramesh Soni,Siliguri,17,Media & Entertainment Law,Insider Trading,45145
2969,Adv. Tarun Chatterjee,Hyderabad,8,Aviation Law,Police Brutality,33278
2970,Adv. Divya Jain,Bhavnagar,15,Trademark & Patent Law,Court-Martial Cases,17214
2971,Adv. Manish Sinha,Bareilly,19,Military Law,Sexual Harassment,11470
2972,Adv. Ajay Sinha,Vadodara,10,Corporate Law,Loan Defaults,44926
2973,Adv. Swati Sinha,Thiruvananthapuram,11,Banking Fraud Law,Workplace Harassment,18405
2974,Adv. Neha Verma,Vadodara,12,Arbitration & Mediation,Drug Trafficking,21242
2975,Adv. Vikram Chopra,Amritsar,8,Consumer Protection Law,Business Disputes,27553
2976,Adv. Simran Deshmukh,Vadodara,16,Military Law,Government Accountability,6367
2977,Adv. Rajeev Gupta,Nashik,19,Criminal Law,Mergers,48354
2978,Adv. Manish Bhardwaj,Bareilly,17,Business Law,Trademark Infringement,17375
2979,Adv. Varun Sharma,Siliguri,12,Financial Law,Mutual Divorce,9511
2980,Adv. Varun Kapoor,Shimla,9,Railway Law,Forged Cheques,5734
2981,Adv. Priya Arora,Raipur,8,Anti-Corruption Law,Unlawful Detention,43552
2982,Adv. Om Prakash Pillai,Siliguri,20,Transportation Law,Visa Fraud,41549
2983,Adv. Om Prakash Reddy,Udaipur,14,Narcotics Law,Foreign Trade Disputes,21358
2984,Adv. Snehal Bhatia,Lucknow,17,Banking Fraud Law,Voting Rights,20369
2985,Adv. Veena Menon,Udaipur,11,Cyber Crime Law,Child Custody,39840
2986,Adv. Anjali Iyer,Vadodara,12,Real Estate Law,Air Accidents,35224
2987,Adv. Nitin Roy,Agra,7,Anti-Corruption Law,Service Disputes,17563
2988,Adv. Nidhi Sharma,Mysore,11,Charity & NGO Law,Animal Cruelty,45124
2989,Adv. Ritu Mishra,Hubli,8,Adoption & Surrogacy Law,Claim Disputes,33301
2990,Adv. Ritika Arora,Gwalior,9,Elder Law,RTI Cases,16534
2991,Adv. Ritika Kapoor,Pune,18,Environmental Law,Tax Evasion,27225
2992,Adv. Rajeev Mishra,Jaipur,19,Election Law,Narcotics,6384
2993,Adv. Chetan Reddy,Asansol,17,Insurance Law,Alimony Cases,38853
2994,Adv. Mohit Saxena,Madurai,18,International Law,Counterfeit Cases,32528
2995,Adv. Alok Mishra,Patna,7,Employment & Labor Law,Corporate Lawsuits,19254
2996,Adv. Priya Deshmukh,Nashik,6,Constitutional Law,Income Tax Disputes,38471
2997,Adv. Kunal Patel,Surat,16,White Collar Crimes,Hacking,43204
2998,Adv. Dheeraj Patel,Kanpur,8,Railway Law,Data Breach,7735
2999,Adv. Aarav Kulkarni,Allahabad,6,Taxation Law,Tax Evasion,26191
3000,Adv. Dheeraj Kaur,Ahmedabad,6,Taxation Law,Insider Trading,40760
3001,Adv. Nidhi Malik,Nashik,11,Election Law,Human Rights Violations,26932
3002,Adv. Om Prakash Sharma,Asansol,6,Elder Law,Bank Fraud,14162
3003,Adv. Tarun Malhotra,Ranchi,7,Environmental Law,Asylum Cases,32353
3004,Adv. Manish Kapoor,Hubli,6,Narcotics Law,LGBTQ+ Rights Cases,13447
3005,Adv. Rashi Das,Patna,13,Intellectual Property Law,RTI Cases,15578
3006,Adv. Manish Chauhan,Kolkata,20,Media & Entertainment Law,Deforestation Cases,7452
3007,Adv. Simran Bhasin,Shimla,8,Media & Entertainment Law,Police Brutality,10658
3008,Adv. Ishita Joshi,Amritsar,8,Financial Law,Passenger Rights,30625
3009,Adv. Rajeev Chauhan,Jodhpur,13,Anti-Corruption Law,Government Scandals,14938
3010,Adv. Ashwin Gupta,Guwahati,7,Business Law,Dispute Settlements,14806
3011,Adv. Parth Kapoor,Kanpur,14,Gender Rights Law,Asylum Cases,40577
3012,Adv. Alok Sinha,Kolkata,16,Public Interest Law,Drug Trafficking,28884
3013,Adv. Simran Soni,Siliguri,20,Narcotics Law,Voting Rights,26633
3014,Adv. Rajeev Malhotra,Lucknow,16,Financial Law,Trademark Infringement,22961
3015,Adv. Ritu Iyer,Coimbatore,10,Telecommunication Law,Wrong Diagnosis,9706
3016,Adv. Ritu Choudhary,Hubli,18,Cyber Law,Pollution Violations,7121
3017,Adv. Dheeraj Menon,Allahabad,9,Human Rights Law,Libel,37635
3018,Adv. Sneha Bhatia,Meerut,8,Animal Rights Law,Malpractice,40496
3019,Adv. Anjali Khandelwal,Bareilly,8,Employment & Labor Law,Fund Mismanagement,24142
3020,Adv. Kunal Rajput,Noida,15,Election Law,Dispute Settlements,21349
3021,Adv. Aarav Das,Vijayawada,17,Media & Entertainment Law,Police Brutality,11101
3022,Adv. Divya Choudhary,Ranchi,14,Family Law,Asylum Cases,46740
3023,Adv. Sanjana Chopra,Vijayawada,20,Election Law,Loan Defaults,24677
3024,Adv. Arjun Malik,Ranchi,17,Real Estate Law,Loan Disputes,10767
3025,Adv. Yogesh Bhardwaj,Siliguri,20,Railway Law,Child Crime Cases,10233
3026,Adv. Alok Dixit,Lucknow,18,Banking & Finance Law,Loan Disputes,31374
3027,Adv. Snehal Joshi,Jaipur,9,Civil Rights Law,Electoral Malpractices,19356
3028,Adv. Nidhi Jain,Indore,9,Family Law,Loan Disputes,6182
3029,Adv. Om Prakash Gupta,Chennai,6,Aviation Law,Alimony Cases,39421
3030,Adv. Neha Bhardwaj,Chennai,16,Financial Law,Debt Negotiations,19316
3031,Adv. Ajay Sen,Surat,5,Public Interest Law,Unlawful Termination,28923
3032,Adv. Bhavna Roy,Nagpur,13,Constitutional Law,Defective Products,43858
3033,Adv. Sanjana Kaur,Kolkata,6,Business Law,Insider Trading,27415
3034,Adv. Devansh Reddy,Madurai,16,Immigration Law,Money Laundering,15869
3035,Adv. Devansh Bhardwaj,Nagpur,13,Military Law,Alimony Cases,24020
3036,Adv. Mohit Kaur,Indore,9,Arbitration & Mediation,Land Grabbing,38577
3037,Adv. Sneha Agrawal,Siliguri,11,Arbitration & Mediation,Passenger Rights,49993
3038,Adv. Neha Sharma,Kolkata,12,Corporate Law,Juvenile Justice,42358
3039,Adv. Chetan Mishra,Madurai,12,Intellectual Property Law,Divorce,42481
3040,Adv. Megha Jain,Udaipur,9,Business Law,Unlawful Detention,18676
3041,Adv. Alok Tiwari,Hyderabad,8,Real Estate Law,Alimony Cases,16286
3042,Adv. Sandeep Soni,Kanpur,11,Adoption & Surrogacy Law,Trademark Infringement,8854
3043,Adv. Yogesh Roy,Delhi,14,Immigration Law,Corporate Frauds,33925
3044,Adv. Manish Malhotra,Amritsar,19,Consumer Protection Law,Juvenile Justice,37808
3045,Adv. Suraj Kulkarni,Lucknow,13,White Collar Crimes,Property Disputes,15483
3046,Adv. Veena Pandey,Siliguri,20,Real Estate Law,Road Accidents,46101
3047,Adv. Arjun Tiwari,Ranchi,19,Debt Recovery Law,Rent Disputes,29409
3048,Adv. Pooja Iyer,Thiruvananthapuram,15,Adoption & Surrogacy Law,Player Contracts,42133
3049,Adv. Manish Tiwari,Indore,10,Banking & Finance Law,Passenger Rights,18455
3050,Adv. Bhavna Reddy,Chandigarh,9,Consumer Protection Law,Foreign Trade Disputes,7650
3051,Adv. Rohan Vyas,Nagpur,8,Aviation Law,Fund Mismanagement,27658
3052,Adv. Sandeep Menon,Mysore,20,International Law,Passenger Rights,42643
3053,Adv. Aarav Chopra,Nagpur,13,Financial Law,Divorce,6224
3054,Adv. Alok Khanna,Gwalior,18,Civil Rights Law,Workplace Harassment,30961
3055,Adv. Anjali Chatterjee,Shimla,6,Media & Entertainment Law,Court-Martial Cases,26248
3056,Adv. Nidhi Mehta,Indore,7,Debt Recovery Law,Counterfeit Cases,34223
3057,Adv. Devansh Rana,Pune,19,Cyber Law,Passenger Rights,30661
3058,Adv. Tarun Saxena,Bangalore,7,Immigration Law,Data Breach,8222
3059,Adv. Tanvi Mishra,Meerut,8,Adoption & Surrogacy Law,Mergers,27919
3060,Adv. Aditya Rajput,Pune,14,Public Interest Law,Corporate Lawsuits,29324
3061,Adv. Alok Bhardwaj,Chandigarh,5,Banking Fraud Law,Workplace Harassment,32185
3062,Adv. Simran Verma,Vijayawada,20,Taxation Law,Alimony Cases,39618
3063,Adv. Tanvi Roy,Vadodara,14,Defamation Law,Malpractice,9605
3064,Adv. Divya Khandelwal,Patna,18,Military Law,Bank Frauds,5824
3065,Adv. Priya Chatterjee,Kolkata,18,Insurance Law,Online Harassment,8523
3066,Adv. Varun Iyer,Raipur,10,Insurance Law,Voting Rights,14246
3067,Adv. Rohan Pandey,Asansol,9,Animal Rights Law,Cybercrime,38143
3068,Adv. Ramesh Soni,Lucknow,16,Elder Law,Dispute Settlements,24440
3069,Adv. Ajay Kaur,Ranchi,20,Cyber Law,Homicide,35646
3070,Adv. Aditya Chopra,Kanpur,11,Military Law,Police Brutality,12708
3071,Adv. Vikram Arora,Agra,10,Medical Negligence Law,Forged Cheques,32601
3072,Adv. Raghav Arora,Raipur,14,Criminal Law,Cybercrime,31158
3073,Adv. Divya Nair,Madurai,11,Public Interest Law,Child Custody,48501
3074,Adv. Kiran Soni,Coimbatore,20,Constitutional Law,Passenger Rights,14310
3075,Adv. Snehal Sen,Madurai,10,Family Law,Property Disputes,23937
3076,Adv. Ritika Soni,Jodhpur,17,Land & Property Law,Road Accidents,47921
3077,Adv. Ashwin Verma,Gorakhpur,8,Cyber Crime Law,Homicide,5645
3078,Adv. Sanjana Khanna,Indore,20,Financial Law,Passenger Rights,10179
3079,Adv. Snehal Bhasin,Gorakhpur,15,Business Law,Juvenile Justice,18697
3080,Adv. Swati Sinha,Mumbai,6,Charity & NGO Law,Poaching Cases,20276
3081,Adv. Sandeep Mehta,Pune,8,Criminal Law,Train Accidents,39128
3082,Adv. Ritika Gupta,Meerut,18,Anti-Corruption Law,Fraudulent Sales,13420
3083,Adv. Kunal Tiwari,Pune,5,Animal Rights Law,Loan Disputes,43268
3084,Adv. Simran Soni,Thiruvananthapuram,5,Criminal Law,LGBTQ+ Rights Cases,28580
3085,Adv. Ishita Iyer,Pune,10,Anti-Corruption Law,Breach of Contracts,28669
3086,Adv. Sandeep Dixit,Mumbai,16,Constitutional Law,Eviction Cases,33736
3087,Adv. Mohit Chatterjee,Agra,17,Financial Law,Trademark Infringement,43229
3088,Adv. Arjun Kapoor,Surat,6,Banking & Finance Law,Online Harassment,28499
3089,Adv. Raghav Kulkarni,Warangal,9,Intellectual Property Law,Government Scandals,48623
3090,Adv. Kavita Kapoor,Jaipur,13,Constitutional Law,Breach of Contracts,35141
3091,Adv. Vikram Vyas,Amritsar,18,Elder Law,Parental Rights,18895
3092,Adv. Sandeep Chauhan,Coimbatore,5,White Collar Crimes,Debt Negotiations,32256
3093,Adv. Deepa Patel,Jaipur,9,Juvenile Law,Copyright Disputes,28001
3094,Adv. Rahul Roy,Varanasi,12,Anti-Corruption Law,Defamation,21244
3095,Adv. Tarun Sharma,Shimla,19,Aviation Law,Property Disputes,29279
3096,Adv. Pooja Gupta,Meerut,16,Narcotics Law,Sexual Harassment,41034
3097,Adv. Ramesh Nair,Ahmedabad,15,Juvenile Law,Malpractice,33662
3098,Adv. Deepa Reddy,Bhopal,7,Environmental Law,Libel,30428
3099,Adv. Veena Malhotra,Ranchi,18,Elder Law,Discrimination Cases,25568
3100,Adv. Alok Sharma,Udaipur,12,Insurance Law,Police Brutality,29240
3101,Adv. Kiran Bhardwaj,Chandigarh,5,Narcotics Law,Player Contracts,46985
3102,Adv. Divya Kulkarni,Siliguri,18,Immigration Law,Illegal Construction,22408
3103,Adv. Parth Sinha,Allahabad,11,Narcotics Law,Foreign Trade Disputes,23759
3104,Adv. Manish Malhotra,Vijayawada,8,White Collar Crimes,Fraudulent Sales,30855
3105,Adv. Ritika Narang,Lucknow,10,Arbitration & Mediation,Cybercrime,21201
3106,Adv. Pooja Rana,Bangalore,5,Anti-Corruption Law,Air Accidents,33014
3107,Adv. Sandeep Mehta,Ahmedabad,8,Human Rights Law,Liability Cases,48498
3108,Adv. Snehal Nair,Allahabad,9,Gender Rights Law,Passenger Rights,34546
3109,Adv. Snehal Chopra,Guwahati,11,Railway Law,Wrong Diagnosis,25943
3110,Adv. Yogesh Deshmukh,Shimla,18,Anti-Corruption Law,Libel,10471
3111,Adv. Rahul Sen,Guwahati,19,Real Estate Law,Corporate Frauds,45243
3112,Adv. Sandeep Sen,Mysore,9,Consumer Protection Law,Juvenile Justice,27057
3113,Adv. Priya Bhasin,Hyderabad,13,Media & Entertainment Law,GST Fraud,26461
3114,Adv. Deepa Iyer,Agra,6,Railway Law,Unlawful Termination,8502
3115,Adv. Anjali Joshi,Goa,12,Cyber Crime Law,Defective Products,44109
3116,Adv. Sandeep Malik,Vadodara,12,Insurance Law,Liability Cases,15731
3117,Adv. Kunal Yadav,Ahmedabad,8,Corporate Law,Animal Cruelty,10672
3118,Adv. Divya Chauhan,Goa,20,Constitutional Law,NGO Registration,23909
3119,Adv. Alok Joshi,Bhavnagar,17,Charity & NGO Law,Wrong Diagnosis,47093
3120,Adv. Rashi Chauhan,Vadodara,7,Military Law,Smuggling Cases,26083
3121,Adv. Kunal Sharma,Vadodara,13,Defamation Law,Data Breach,14792
3122,Adv. Anjali Malhotra,Nashik,11,Consumer Protection Law,Property Disputes,25119
3123,Adv. Akash Soni,Gorakhpur,8,Aviation Law,Eviction Cases,26034
3124,Adv. Veena Pandey,Bhopal,10,Intellectual Property Law,Fraudulent Sales,28078
3125,Adv. Vikram Pandey,Mumbai,6,Charity & NGO Law,Fraudulent Sales,31100
3126,Adv. Kiran Chauhan,Indore,8,Military Law,Income Tax Disputes,18464
3127,Adv. Kiran Chauhan,Bhavnagar,12,Juvenile Law,Income Tax Disputes,49141
3128,Adv. Sanjana Khanna,Asansol,8,Elder Law,Drug Trafficking,37341
3129,Adv. Tanvi Sen,Gorakhpur,14,Consumer Protection Law,Privacy Issues,22841
3130,Adv. Kiran Chopra,Coimbatore,7,Civil Litigation,Doping Cases,23426
3131,Adv. Aarav Bhardwaj,Bareilly,20,Animal Rights Law,Extradition,47788
3132,Adv. Kunal Mehta,Udaipur,14,Cyber Law,NGO Registration,31162
3133,Adv. Manish Arora,Guwahati,7,Charity & NGO Law,Rent Disputes,43809
3134,Adv. Raghav Dixit,Noida,7,Real Estate Law,Patent Infringements,29968
3135,Adv. Nidhi Kulkarni,Noida,19,Financial Law,Player Contracts,21124
3136,Adv. Aditya Saxena,Bangalore,6,Corporate Law,Mutual Divorce,22906
3137,Adv. Divya Saxena,Shimla,14,Elder Law,Loan Disputes,37983
3138,Adv. Sneha Kapoor,Madurai,10,Telecommunication Law,Service Disputes,23002
3139,Adv. Tanvi Saxena,Udaipur,12,Arbitration & Mediation,Tax Evasion,23081
3140,Adv. Aarav Bhardwaj,Vadodara,5,Aviation Law,Business Disputes,45266
3141,Adv. Kiran Chopra,Asansol,15,Corporate Law,Narcotics,14610
3142,Adv. Simran Chauhan,Pune,8,Narcotics Law,Landlord-Tenant Issues,24306
3143,Adv. Nidhi Patel,Meerut,17,Immigration Law,Illegal Possession,45904
3144,Adv. Rajeev Kapoor,Noida,8,Narcotics Law,Online Fraud,48041
3145,Adv. Anjali Kaur,Chennai,20,Real Estate Law,Mutual Divorce,5933
3146,Adv. Arjun Jain,Indore,16,Medical Negligence Law,Defamation,35915
3147,Adv. Ritika Rajput,Bareilly,16,Financial Law,Financial Frauds,8570
3148,Adv. Chetan Agrawal,Hubli,20,Animal Rights Law,Land Acquisition,29450
3149,Adv. Nitin Yadav,Bareilly,13,Insurance Law,Eviction Cases,39176
3150,Adv. Swati Nair,Jodhpur,12,Employment & Labor Law,GST Fraud,49089
3151,Adv. Raghav Arora,Hubli,16,Immigration Law,Landlord-Tenant Issues,20061
3152,Adv. Aarav Mishra,Thiruvananthapuram,16,Taxation Law,Pollution Violations,22315
3153,Adv. Sunita Agrawal,Gorakhpur,13,Anti-Corruption Law,Online Fraud,44494
3154,Adv. Nidhi Chatterjee,Gwalior,18,International Law,Tax Evasion,15679
3155,Adv. Bhavna Kaur,Mumbai,20,Intellectual Property Law,Poaching Cases,26773
3156,Adv. Ritu Iyer,Mysore,15,Corporate Law,Corporate Frauds,42896
3157,Adv. Varun Jain,Noida,7,Cyber Law,Government Accountability,28083
3158,Adv. Tanvi Kapoor,Delhi,14,Financial Law,Malpractice,27750
3159,Adv. Vikram Malik,Warangal,5,Environmental Law,Extradition,22127
3160,Adv. Kavita Vyas,Madurai,13,Military Law,Bank Fraud,22586
3161,Adv. Tanvi Rajput,Ahmedabad,10,Criminal Law,Online Fraud,21982
3162,Adv. Tarun Khanna,Varanasi,18,Adoption & Surrogacy Law,Defamation,22010
3163,Adv. Chetan Bhardwaj,Warangal,11,Human Rights Law,Fundamental Rights,25106
3164,Adv. Sandeep Khanna,Siliguri,15,Banking & Finance Law,Court-Martial Cases,27545
3165,Adv. Devansh Joshi,Surat,8,Environmental Law,Unlawful Termination,47251
3166,Adv. Kunal Roy,Goa,16,Environmental Law,Fundamental Rights,23434
3167,Adv. Veena Malhotra,Noida,7,Criminal Law,Government Accountability,39598
3168,Adv. Ramesh Bhardwaj,Bhopal,17,Charity & NGO Law,Dispute Settlements,38033
3169,Adv. Sandeep Saxena,Bangalore,14,Employment & Labor Law,Bank Frauds,48629
3170,Adv. Alok Kapoor,Kolkata,6,Banking Fraud Law,Breach of Contracts,8155
3171,Adv. Ishita Chatterjee,Raipur,10,Human Rights Law,Libel,15212
3172,Adv. Snehal Kapoor,Ranchi,10,Employment & Labor Law,Land Acquisition,23286
3173,Adv. Rahul Sen,Chennai,20,Taxation Law,Retirement Benefits,24796
3174,Adv. Kiran Chatterjee,Surat,9,Election Law,Film Contracts,25489
3175,Adv. Om Prakash Sharma,Siliguri,5,Narcotics Law,Human Rights Violations,8920
3176,Adv. Ishita Das,Mysore,17,Criminal Law,Retirement Benefits,42280
3177,Adv. Raghav Dixit,Warangal,13,Employment & Labor Law,Passenger Rights,34760
3178,Adv. Deepa Chopra,Guwahati,8,Real Estate Law,NGO Registration,35375
3179,Adv. Neha Kulkarni,Guwahati,12,Trademark & Patent Law,Libel,38088
3180,Adv. Nitin Choudhary,Siliguri,7,Adoption & Surrogacy Law,Property Disputes,18541
3181,Adv. Rohan Gupta,Thiruvananthapuram,10,Banking & Finance Law,Dispute Settlements,15422
3182,Adv. Dheeraj Kulkarni,Kanpur,7,Telecommunication Law,Air Accidents,16723
3183,Adv. Sunita Kapoor,Shimla,17,Gender Rights Law,Pollution Violations,23481
3184,Adv. Sanjana Gupta,Solapur,6,International Law,Service Disputes,38383
3185,Adv. Ashwin Roy,Nagpur,6,Anti-Corruption Law,Child Custody,13566
3186,Adv. Yogesh Soni,Amritsar,17,Corporate Law,Mutual Divorce,26571
3187,Adv. Akash Sinha,Madurai,8,Military Law,Privacy Issues,39942
3188,Adv. Chetan Yadav,Udaipur,7,Banking & Finance Law,Defective Products,25281
3189,Adv. Varun Malhotra,Chennai,14,Anti-Corruption Law,Loan Disputes,39241
3190,Adv. Deepa Tiwari,Bhopal,18,Financial Law,Workplace Harassment,22292
3191,Adv. Rohan Gupta,Indore,18,Banking Fraud Law,Extradition,16233
3192,Adv. Pooja Patel,Bhopal,12,Media & Entertainment Law,Parental Rights,12964
3193,Adv. Neha Bhardwaj,Mumbai,6,Financial Law,Passenger Rights,19942
3194,Adv. Snehal Mishra,Gorakhpur,17,Arbitration & Mediation,Train Accidents,46183
3195,Adv. Manish Iyer,Warangal,17,Family Law,Forged Cheques,30770
3196,Adv. Chetan Mehta,Amritsar,20,Medical Negligence Law,Liability Cases,40983
3197,Adv. Om Prakash Choudhary,Madurai,11,Juvenile Law,NGO Registration,40372
3198,Adv. Deepa Narang,Gorakhpur,17,Business Law,Unlawful Termination,48367
3199,Adv. Neha Sharma,Nagpur,13,Charity & NGO Law,Business Disputes,24429
3200,Adv. Vikram Khanna,Surat,14,Juvenile Law,Defamation,33627
3201,Adv. Mohit Kapoor,Bhopal,17,Insurance Law,Player Contracts,37425
3202,Adv. Nidhi Sharma,Kanpur,16,Medical Negligence Law,Illegal Possession,7767
3203,Adv. Ashwin Deshmukh,Surat,7,Telecommunication Law,Mutual Divorce,42414
3204,Adv. Suraj Iyer,Thiruvananthapuram,10,Railway Law,Breach of Contracts,33612
3205,Adv. Sunita Gupta,Hyderabad,15,Adoption & Surrogacy Law,Money Laundering Cases,46441
3206,Adv. Ritika Kaur,Kanpur,5,Cyber Law,NGO Registration,37139
3207,Adv. Veena Joshi,Patna,20,Public Interest Law,Air Accidents,23045
3208,Adv. Manish Chauhan,Bhopal,16,Employment & Labor Law,Unlawful Termination,30695
3209,Adv. Manish Chopra,Vijayawada,20,Telecommunication Law,Smuggling Cases,27761
3210,Adv. Neha Jain,Noida,17,Intellectual Property Law,Train Accidents,15836
3211,Adv. Ritika Roy,Solapur,13,Immigration Law,Doping Cases,10270
3212,Adv. Ritika Iyer,Bangalore,20,Public Interest Law,Drug Trafficking,37744
3213,Adv. Aditya Joshi,Mumbai,17,Taxation Law,Breach of Contracts,35695
3214,Adv. Deepa Iyer,Meerut,18,Railway Law,Train Accidents,37021
3215,Adv. Aarav Gupta,Coimbatore,18,Trademark & Patent Law,Air Accidents,18340
3216,Adv. Devansh Kapoor,Nagpur,16,Business Law,Child Crime Cases,40469
3217,Adv. Sanjana Deshmukh,Udaipur,20,Business Law,Rent Disputes,45093
3218,Adv. Sandeep Arora,Hyderabad,16,Elder Law,Cybercrime,17620
3219,Adv. Sandeep Verma,Patna,18,Juvenile Law,Air Accidents,9772
3220,Adv. Ramesh Nair,Noida,15,Real Estate Law,Cybercrime,18557
3221,Adv. Raghav Pandey,Warangal,9,Constitutional Law,Train Accidents,39009
3222,Adv. Pooja Sinha,Bhopal,16,Financial Law,NGO Registration,21645
3223,Adv. Snehal Jain,Chennai,11,Sports Law,Liability Cases,28259
3224,Adv. Dheeraj Chopra,Bhavnagar,17,Charity & NGO Law,Workplace Harassment,6999
3225,Adv. Sandeep Das,Siliguri,11,Financial Law,Alimony Cases,10089
3226,Adv. Ashwin Rana,Gorakhpur,10,Railway Law,Trademark Infringement,24523
3227,Adv. Mohit Khanna,Hyderabad,14,Banking & Finance Law,PILs,41248
3228,Adv. Aditya Reddy,Hyderabad,9,Intellectual Property Law,ISP Disputes,14384
3229,Adv. Raghav Chatterjee,Allahabad,8,Sports Law,Drug Trafficking,27390
3230,Adv. Ajay Roy,Chandigarh,17,Railway Law,Online Harassment,17327
